Filename,Variable name,Units,Variable reference,Index type key,Variable type key,Keyed value
BaseboardElectric.cc,"""Baseboard Electricity Energy""",OutputProcessor::Unit::J,thisBaseboard.ElecUseLoad,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,thisBaseboard.EquipName
BaseboardElectric.cc,"""Baseboard Electricity Rate""",OutputProcessor::Unit::W,thisBaseboard.ElecUseRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,thisBaseboard.EquipName
ChillerElectricEIR.cc,"""Chiller Part Load Ratio""",OutputProcessor::Unit::None,this->ChillerPartLoadRatio,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Cycling Ratio""",OutputProcessor::Unit::None,this->ChillerCyclingRatio,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Electricity Rate""",OutputProcessor::Unit::W,this->Power,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Electricity Energy""",OutputProcessor::Unit::J,this->Energy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,this->Name
ChillerElectricEIR.cc,"""Chiller Evaporator Cooling Rate""",OutputProcessor::Unit::W,this->QEvaporator,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Evaporator Cooling Energy""",OutputProcessor::Unit::J,this->EvapEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,this->Name
ChillerElectricEIR.cc,"""Chiller False Load Heat Transfer Rate""",OutputProcessor::Unit::W,this->ChillerFalseLoadRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller False Load Heat Transfer Energy""",OutputProcessor::Unit::J,this->ChillerFalseLoad,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,this->Name
ChillerElectricEIR.cc,"""Chiller Evaporator Inlet Temperature""",OutputProcessor::Unit::C,this->EvapInletTemp,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Evaporator Outlet Temperature""",OutputProcessor::Unit::C,this->EvapOutletTemp,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Evaporator Mass Flow Rate""",OutputProcessor::Unit::kg_s,this->EvapMassFlowRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Condenser Heat Transfer Rate""",OutputProcessor::Unit::W,this->QCondenser,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Condenser Heat Transfer Energy""",OutputProcessor::Unit::J,this->CondEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,this->Name
ChillerElectricEIR.cc,"""Chiller COP""",OutputProcessor::Unit::W_W,this->ActualCOP,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Capacity Temperature Modifier Multiplier""",OutputProcessor::Unit::None,this->ChillerCapFT,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller EIR Temperature Modifier Multiplier""",OutputProcessor::Unit::None,this->ChillerEIRFT,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller EIR Part Load Modifier Multiplier""",OutputProcessor::Unit::None,this->ChillerEIRFPLR,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Condenser Inlet Temperature""",OutputProcessor::Unit::C,this->CondInletTemp,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Condenser Outlet Temperature""",OutputProcessor::Unit::C,this->CondOutletTemp,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Condenser Mass Flow Rate""",OutputProcessor::Unit::kg_s,this->CondMassFlowRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Total Recovered Heat Rate""",OutputProcessor::Unit::W,this->QHeatRecovered,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Total Recovered Heat Energy""",OutputProcessor::Unit::J,this->EnergyHeatRecovery,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,this->Name
ChillerElectricEIR.cc,"""Chiller Heat Recovery Inlet Temperature""",OutputProcessor::Unit::C,this->HeatRecInletTemp,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Heat Recovery Outlet Temperature""",OutputProcessor::Unit::C,this->HeatRecOutletTemp,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Heat Recovery Mass Flow Rate""",OutputProcessor::Unit::kg_s,this->HeatRecMassFlow,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Effective Heat Rejection Temperature""",OutputProcessor::Unit::C,this->ChillerCondAvgTemp,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Condenser Inlet Temperature""",OutputProcessor::Unit::C,this->CondInletTemp,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Condenser Fan Electricity Rate""",OutputProcessor::Unit::W,this->CondenserFanPower,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Condenser Fan Electricity Energy""",OutputProcessor::Unit::J,this->CondenserFanEnergyConsumption,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,this->Name
ChillerElectricEIR.cc,"""Chiller Evaporative Condenser Water Volume""",OutputProcessor::Unit::m3,this->EvapWaterConsump,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,this->Name
ChillerElectricEIR.cc,"""Chiller Evaporative Condenser Mains Supply Water Volume""",OutputProcessor::Unit::m3,this->EvapWaterConsump,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,this->Name
ChillerElectricEIR.cc,"""Chiller Basin Heater Electricity Rate""",OutputProcessor::Unit::W,this->BasinHeaterPower,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,this->Name
ChillerElectricEIR.cc,"""Chiller Basin Heater Electricity Energy""",OutputProcessor::Unit::J,this->BasinHeaterConsumption,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,this->Name
ChilledCeilingPanelSimple.cc,"""Cooling Panel Total Cooling Rate""",OutputProcessor::Unit::W,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).Power,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).EquipID
ChilledCeilingPanelSimple.cc,"""Cooling Panel Total System Cooling Rate""",OutputProcessor::Unit::W,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).TotPower,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).EquipID
ChilledCeilingPanelSimple.cc,"""Cooling Panel Convective Cooling Rate""",OutputProcessor::Unit::W,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).ConvPower,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).EquipID
ChilledCeilingPanelSimple.cc,"""Cooling Panel Radiant Cooling Rate""",OutputProcessor::Unit::W,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).RadPower,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).EquipID
ChilledCeilingPanelSimple.cc,"""Cooling Panel Total Cooling Energy""",OutputProcessor::Unit::J,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).Energy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).EquipID
ChilledCeilingPanelSimple.cc,"""Cooling Panel Total System Cooling Energy""",OutputProcessor::Unit::J,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).TotEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).EquipID
ChilledCeilingPanelSimple.cc,"""Cooling Panel Convective Cooling Energy""",OutputProcessor::Unit::J,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).ConvEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).EquipID
ChilledCeilingPanelSimple.cc,"""Cooling Panel Radiant Cooling Energy""",OutputProcessor::Unit::J,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).RadEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).EquipID
ChilledCeilingPanelSimple.cc,"""Cooling Panel Water Mass Flow Rate""",OutputProcessor::Unit::kg_s,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).WaterMassFlowRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).EquipID
ChilledCeilingPanelSimple.cc,"""Cooling Panel Water Inlet Temperature""",OutputProcessor::Unit::C,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).WaterInletTemp,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).EquipID
ChilledCeilingPanelSimple.cc,"""Cooling Panel Water Outlet Temperature""",OutputProcessor::Unit::C,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).WaterOutletTemp,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataChilledCeilingPanelSimple->CoolingPanel(CoolingPanelNum).EquipID
HVACSingleDuctInduc.cc,"""Zone Air Terminal Outdoor Air Volume Flow Rate""",OutputProcessor::Unit::m3_s,state.dataHVACSingleDuctInduc->IndUnit(IUNum).OutdoorAirFlowRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataHVACSingleDuctInduc->IndUnit(IUNum).Name
SurfaceGeometry.cc,"""Surface Exterior Cavity Baffle Surface Temperature""",OutputProcessor::Unit::C,state.dataSurface->ExtVentedCavity(Item).Tbaffle,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataSurface->ExtVentedCavity(Item).Name
SurfaceGeometry.cc,"""Surface Exterior Cavity Air Drybulb Temperature""",OutputProcessor::Unit::C,state.dataSurface->ExtVentedCavity(Item).TAirCav,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataSurface->ExtVentedCavity(Item).Name
SurfaceGeometry.cc,"""Surface Exterior Cavity Total Natural Ventilation Air Change Rate""",OutputProcessor::Unit::ach,state.dataSurface->ExtVentedCavity(Item).PassiveACH,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataSurface->ExtVentedCavity(Item).Name
SurfaceGeometry.cc,"""Surface Exterior Cavity Total Natural Ventilation Mass Flow Rate""",OutputProcessor::Unit::kg_s,state.dataSurface->ExtVentedCavity(Item).PassiveMdotVent,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataSurface->ExtVentedCavity(Item).Name
SurfaceGeometry.cc,"""Surface Exterior Cavity Natural Ventilation from Wind Mass Flow Rate""",OutputProcessor::Unit::kg_s,state.dataSurface->ExtVentedCavity(Item).PassiveMdotWind,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataSurface->ExtVentedCavity(Item).Name
SurfaceGeometry.cc,"""Surface Exterior Cavity Natural Ventilation from Buoyancy Mass Flow Rate""",OutputProcessor::Unit::kg_s,state.dataSurface->ExtVentedCavity(Item).PassiveMdotTherm,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataSurface->ExtVentedCavity(Item).Name
SurfaceGeometry.cc,"""Surface Other Side Coefficients Exterior Air Drybulb Temperature""",OutputProcessor::Unit::C,state.dataSurface->OSC(Loop).OSCTempCalc,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataSurface->OSC(Loop).Name
SurfaceGeometry.cc,"""Surface Other Side Conditions Modeled Convection Air Temperature""",OutputProcessor::Unit::C,state.dataSurface->OSCM(OSCMNum).TConv,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataSurface->OSCM(OSCMNum).Name
SurfaceGeometry.cc,"""Surface Other Side Conditions Modeled Convection Heat Transfer Coefficient""",OutputProcessor::Unit::W_m2K,state.dataSurface->OSCM(OSCMNum).HConv,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataSurface->OSCM(OSCMNum).Name
SurfaceGeometry.cc,"""Surface Other Side Conditions Modeled Radiation Temperature""",OutputProcessor::Unit::C,state.dataSurface->OSCM(OSCMNum).TRad,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataSurface->OSCM(OSCMNum).Name
SurfaceGeometry.cc,"""Surface Other Side Conditions Modeled Radiation Heat Transfer Coefficient""",OutputProcessor::Unit::W_m2K,state.dataSurface->OSCM(OSCMNum).HRad,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataSurface->OSCM(OSCMNum).Name
HeatRecovery.cc,"""Heat Exchanger Sensible Heating Rate""",OutputProcessor::Unit::W,state.dataHeatRecovery->ExchCond(ExchNum).SensHeatingRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Sensible Heating Energy""",OutputProcessor::Unit::J,state.dataHeatRecovery->ExchCond(ExchNum).SensHeatingEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Latent Gain Rate""",OutputProcessor::Unit::W,state.dataHeatRecovery->ExchCond(ExchNum).LatHeatingRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Latent Gain Energy""",OutputProcessor::Unit::J,state.dataHeatRecovery->ExchCond(ExchNum).LatHeatingEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Total Heating Rate""",OutputProcessor::Unit::W,state.dataHeatRecovery->ExchCond(ExchNum).TotHeatingRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Total Heating Energy""",OutputProcessor::Unit::J,state.dataHeatRecovery->ExchCond(ExchNum).TotHeatingEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Sensible Cooling Rate""",OutputProcessor::Unit::W,state.dataHeatRecovery->ExchCond(ExchNum).SensCoolingRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Sensible Cooling Energy""",OutputProcessor::Unit::J,state.dataHeatRecovery->ExchCond(ExchNum).SensCoolingEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Latent Cooling Rate""",OutputProcessor::Unit::W,state.dataHeatRecovery->ExchCond(ExchNum).LatCoolingRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Latent Cooling Energy""",OutputProcessor::Unit::J,state.dataHeatRecovery->ExchCond(ExchNum).LatCoolingEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Total Cooling Rate""",OutputProcessor::Unit::W,state.dataHeatRecovery->ExchCond(ExchNum).TotCoolingRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Total Cooling Energy""",OutputProcessor::Unit::J,state.dataHeatRecovery->ExchCond(ExchNum).TotCoolingEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Electricity Rate""",OutputProcessor::Unit::W,state.dataHeatRecovery->ExchCond(ExchNum).ElecUseRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Electricity Energy""",OutputProcessor::Unit::J,state.dataHeatRecovery->ExchCond(ExchNum).ElecUseEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Sensible Effectiveness""",OutputProcessor::Unit::None,state.dataHeatRecovery->ExchCond(ExchNum).SensEffectiveness,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Latent Effectiveness""",OutputProcessor::Unit::None,state.dataHeatRecovery->ExchCond(ExchNum).LatEffectiveness,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Supply Air Bypass Mass Flow Rate""",OutputProcessor::Unit::kg_s,state.dataHeatRecovery->ExchCond(ExchNum).SupBypassMassFlow,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Exhaust Air Bypass Mass Flow Rate""",OutputProcessor::Unit::kg_s,state.dataHeatRecovery->ExchCond(ExchNum).SecBypassMassFlow,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataHeatRecovery->ExchCond(ExchNum).Name
HeatRecovery.cc,"""Heat Exchanger Defrost Time Fraction""",OutputProcessor::Unit::None,state.dataHeatRecovery->ExchCond(ExchNum).DefrostFraction,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,state.dataHeatRecovery->ExchCond(ExchNum).Name
WeatherManager.cc,"""Site Outdoor Air Drybulb Temperature""",OutputProcessor::Unit::C,state.dataEnvrn->OutDryBulbTemp,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::Average,"""Environment"""
WeatherManager.cc,"""Site Outdoor Air Dewpoint Temperature""",OutputProcessor::Unit::C,state.dataEnvrn->OutDewPointTemp,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::Average,"""Environment"""
WeatherManager.cc,"""Site Outdoor Air Wetbulb Temperature""",OutputProcessor::Unit::C,state.dataEnvrn->OutWetBulbTemp,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::Average,"""Environment"""
WeatherManager.cc,"""Site Outdoor Air Humidity Ratio""",OutputProcessor::Unit::kgWater_kgDryAir,state.dataEnvrn->OutHumRat,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::Average,"""Environment"""
WeatherManager.cc,"""Site Outdoor Air Relative Humidity""",OutputProcessor::Unit::Perc,state.dataEnvrn->OutRelHum,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::Average,"""Environment"""
WeatherManager.cc,"""Site Outdoor Air Barometric Pressure""",OutputProcessor::Unit::Pa,state.dataEnvrn->OutBaroPress,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::Average,"""Environment"""
WeatherManager.cc,"""Site Wind Speed""",OutputProcessor::Unit::m_s,state.dataEnvrn->WindSpeed,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::Average,"""Environment"""
WeatherManager.cc,"""Site Wind Direction""",OutputProcessor::Unit::deg,state.dataEnvrn->WindDir,OutputProcessor::SOVTimeStepType::Zone,OutputProcessor::SOVStoreType::Average,"""Environment"""
